address,balance
3MbYQMMmSkC3AgWkj9FMo5LsPTW1zBTwXL,0.00197296
3BbDtxBSjgfTRxaBUgR2JACWRukLKtZdiQ,937804.49520935
1KYiKJEfdJtap9QX2v9BXJMpz2SfU4pgZw,6010074.03730949
1QLZLgzBaD7Lhp8PESARYpFANoNiGNk2um,2511984.0
1L2AdNuaKLYxqBpKmvzdSwQKRuoQxVdB4i,0.0
1LAnF8h3qMGx3TSwNUHVneBZUEpwE4gu3D,9210554.51643708
115E3baxJZsJHeTay1jvUh3nSTHBJhkskc,3201860.26845988
1J1dCYzS5EerUuJCJ6iJYVPytCMVLXrgM9,603597.54
15Fkf4K6z6XQXr1xoNBDDTaR9GBMX6JdyF,8119069.68563084
1Fdz3iQDDA6mJVoAV4ZcqgVFe1MX97EZoD,0.0
1Po1oWkD2LmodfkBYiAktwh76vkF93LKnh,47256900.93007926
1AA6iP6hrZfYiacfzb3VS5JoyKeZZBEYRW,406833.44
1DUb2YYbQA1jjaNYzVXLZ7ZioEhLXtbUru,227846274.07002825
1NUWxSgkBrssdkxWxUA4Mos3dWagRjwYNR,304500.0
1J5NMmFGjGToRgEp7mDRYrGFbxPpXUnRhN,160000.0
